[2026-05-19T23:38:09.197Z INFO  kvm_server] Starting KVM server
[2026-05-19T23:38:09.197Z INFO  kvm_server] Server config: bind_addr=0.0.0.0:8080, client_addr=0.0.0.0:8080, screen=1920x1080
[2026-05-19T23:38:09.197Z DEBUG kvm_server] Auto-detected mouse device: "Logitech G305"
[2026-05-19T23:38:09.449Z INFO  kvm_server] Mouse device found and initialized
[2026-05-19T23:38:09.449Z INFO  kvm_server] KVM Edge Detection active. Move mouse past right edge to switch to Mac.
[2026-05-19T23:38:29.150Z INFO  kvm_server] Transitioning control to Mac!
[2026-05-19T23:38:29.150Z DEBUG kvm_server] Sent absolute mouse move to client: x=0, y=758
[2026-05-19T23:38:29.150Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.151Z DEBUG kvm_server] Sent relative mouse move to client: dx=6, dy=0
[2026-05-19T23:38:29.151Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.152Z DEBUG kvm_server] Sent relative mouse move to client: dx=9, dy=0
[2026-05-19T23:38:29.153Z DEBUG kvm_server] Sent relative mouse move to client: dx=6, dy=0
[2026-05-19T23:38:29.153Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.154Z DEBUG kvm_server] Sent relative mouse move to client: dx=4, dy=0
[2026-05-19T23:38:29.155Z DEBUG kvm_server] Sent relative mouse move to client: dx=8, dy=0
[2026-05-19T23:38:29.155Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.156Z DEBUG kvm_server] Sent relative mouse move to client: dx=8, dy=0
[2026-05-19T23:38:29.157Z DEBUG kvm_server] Sent relative mouse move to client: dx=7, dy=0
[2026-05-19T23:38:29.157Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.158Z DEBUG kvm_server] Sent relative mouse move to client: dx=5, dy=0
